root_word,meaning_en,meaning_vi
remark,"something that you say or write which expresses an opinion, a thought, etc. about somebody/something",nhận xét
remedy,a way of dealing with or improving an unpleasant or difficult situation,biện pháp khắc phục
remember,"to have or keep an image in your memory of an event, a person, a place, etc. from the past",nhớ
remote,far away from places where other people live,"xa xôi, điều khiển từ xa"
rent,"an amount of money that you regularly pay so that you can use a house, room, etc.",thuê nhà
repeat,an event that is very similar to something that happened before,lặp lại
represent,"to be a member of a group of people and act or speak for them at an event, a meeting, etc.",đại diện
republic,a country that is governed by a president and politicians elected by the people and where there is no king or queen,nước cộng hòa
rescue,the act of saving somebody/something from a dangerous or difficult situation; the fact of being saved,giải cứu
reserve,a supply of something that is available to be used in the future or when it is needed,"dự trữ, đặt trước"
reside,to live in a particular place,cư trú
residue,a small amount of something that remains at the end of a process,phần còn lại
resign,"to officially tell somebody that you are leaving your job, an organization, etc.",từ chức
resource,"a supply of something that a country, an organization or a person has and can use, especially to increase their wealth",tài nguyên
respect,a strong feeling of approval of somebody/something because of their good qualities or achievements,tôn trọng
respond,to give a spoken or written answer to somebody/something,phản hồi
response,a spoken or written answer,sự phản hồi
responsible,"having the job or duty of doing something or taking care of somebody/something, so that you may be blamed if something goes wrong",có trách nhiệm
rest,the part of something that remains,"nghỉ ngơi, phần còn lại"
restore,to bring back a situation or feeling that existed before,khôi phục
result,a thing that is caused or produced because of something else,kết quả
retail,"the selling of goods to the public, usually through shops",bán lẻ
retire,"to leave your job and stop working, especially because you have reached a particular age or because you are ill; to tell somebody they must stop doing their job",nghỉ hưu
retrieve,"to bring or get something back, especially from a place where it should not be",lấy lại
return,the action of arriving in or coming back to a place that you were in before,trở lại
reveal,to make something known to somebody,tiết lộ
reward,"a thing that you are given because you have done something good, worked hard, etc.",phần thưởng
rhetoric,"speech or writing that is intended to influence people, but that is not completely honest or sincere",hùng biện
rhythm,a strong regular repeated pattern of sounds or movements,nhịp điệu
rich,having a lot of money or property,giàu có
rid,to be free of somebody/something that has been annoying you or that you do not want,loại bỏ
ride,"a short journey in a vehicle, on a bicycle, etc.","cưỡi, đi xe"
rifle,a gun with a long barrel which you hold to your shoulder to fire,súng trường
right,true or correct as a fact,"đúng, quyền lợi"
ring,"a piece of jewellery that you wear on your finger, consisting of a round band of gold, silver, etc., sometimes decorated with precious stones","chiếc nhẫn, tiếng chuông"
