word,pos,meaning_en,meaning_vi
odder,noun,strange or unusual | person who does; comparative,strange or unusual | người thực hiện; so sánh hơn
oddest,adjective,strange or unusual | superlative,strange or unusual | so sánh nhất
offhandedness,noun,"away, off | the part of the body at the end of the arm, including the fingers and thumb | state or quality of (noun","away, off | the part of the body at the end of the arm, including the fingers and thumb | trạng thái hoặc tính chất của (danh từ"
oftenest,adjective,many times | superlative,many times | so sánh nhất
oilheating,noun,a thick liquid that is found in rock underground + the quality of being hot,a thick liquid that is found in rock underground + the quality of being hot
oilier,noun,a thick liquid that is found in rock underground | having quality of; noun/adjective | person who does; comparative,a thick liquid that is found in rock underground | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
oiliest,adjective,a thick liquid that is found in rock underground | having quality of; noun/adjective | superlative,a thick liquid that is found in rock underground | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
oldest,adjective,of a particular age | superlative,of a particular age | so sánh nhất
oldies,adjective,of a particular age | having quality of; noun/adjective,of a particular age | cóĩ·· tính chất của; danh từ/t tính từ
oneupmanship,noun,"upward, higher | the number 1 + an adult male human | state, condition, skill (noun","upward, higher | the number 1 + an adult male human | state, condition, skill (danh từ"
openheartedness,noun,"allowing things or people to go through; not closed or blocked + the organ in the chest that sends blood around the body, usually on the left in humans | state or quality of (noun","allowing things or people to go through; not closed or blocked + the organ in the chest that sends blood around the body, usually on the left in humans | trạng thái hoặc tính chất của (danh từ"
operagoers,noun,a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment + a person’s turn to move or play in a game or an activity | person who does; comparative,a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment + a person’s turn to move or play in a game or an activity | người thực hiện; so sánh hơn
outbidden,verb,"beyond, exceeding, external | an offer by a person or a company to pay a particular amount of money for something | to make (verb | adjective","beyond, exceeding, external | an offer by a person or a company to pay a particular amount of money for something | lam cho (động từ | t tính từ"
outdate,noun,"beyond, exceeding, external | a particular day of the month, sometimes in a particular year, given in numbers and words","beyond, exceeding, external | a particular day of the month, sometimes in a particular year, given in numbers and words"
outdate,verb,"to make something old-fashioned or obsolete, especially by introducing something newer","làm cho cái gì đó trở nên lỗi thời hoặc không còn được sử dụng, đặc biệt là do có thứ mới hơn thay thế"
outgrown,unknown,"out-(beyond, exceeding, external) + grow(to increase in size, number, strength or quality) + -n([INFLECTION] past-participle ending (VD: blown, drawn))",vượt / ra ngoài — phát triển — n (unknown)
