root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
announce,verb,to make a public or formal statement about a fact or event,"thông báo, công bố",không,,Root gốc
wealth,noun,an abundance of valuable possessions or money,"sự giàu có, của cải",không,,Root gốc
magic,noun,the power of apparently influencing events by supernatural forces,phép thuật,không,,Root gốc
current,noun,"a continuous flow of water, air, or electricity in a specific direction","dòng chảy, dòng điện",không,,Root gốc
curve,noun,a line or surface that bends gradually,đường cong,không,,Root gốc
custody,noun,the protective care or guardianship of someone or something,"sự giam giữ, quyền nuôi dưỡng",không,,Root gốc
smile,verb,to form a facial expression showing pleasure by curving the lips upward,mỉm cười,không,,Root gốc
silver,noun,"a precious grayish-white metal, chemical element","bạc, kim loại quý",không,,Root gốc
danger,noun,a situation or state that may cause harm or injury,"sự nguy hiểm, tình trạng có thể gây hại",không,,Root gốc
ski,noun,a long narrow board attached to the foot for gliding over snow,ván trượt tuyết,không,,Root gốc
slide,verb,to move smoothly along a surface without leaving it,"trượt, lướt trên bề mặt",không,,Root gốc
who,pronoun,used to ask about the identity of a person,ai (đại từ nghi vấn chỉ người),không,,Root gốc
crush,verb,to press something forcefully so as to break or deform it,"nghiền nát, ép vỡ",không,,Root gốc
wrist,noun,the joint connecting the hand with the forearm,cổ tay,không,,Root gốc
wed,verb,to marry someone,"kết hôn, lấy nhau",không,,Root gốc
wet,adjective,covered or soaked with liquid,"ướt, ẩm ướt",không,,Root gốc
youth,noun,the period of life when one is young,"tuổi trẻ, thời niên thiếu",không,,Root gốc
amaze,verb,to surprise someone greatly,"làm kinh ngạc, làm sửng sốt",không,,Root gốc
accommodate,verb,"to provide lodging or space for, or to adapt to fit","chứa, cung cấp chỗ ở, thích ứng với",không,,Root gốc
young,adjective,having lived or existed for only a short time,"trẻ, còn ít tuổi",không,,Root gốc
acute,adjective,"sharp, severe, or sensed keenly","sắc bén, gay gắt, cấp tính",không,,Root gốc
yield,verb,"to give way, surrender, or produce a result","nhượng bộ, đầu hàng, sinh lợi",không,,Root gốc
address,noun,the details of where a person or place is located,địa chỉ,không,,Root gốc
would,verb,modal verb expressing intention or a hypothetical action,"sẽ, muốn (động từ khuyết thiếu diễn tả ý định/giả định)",không,,Root gốc
wrap,verb,to cover or enclose something by folding material around it,"gói, bọc lại",không,,Root gốc
absurd,adjective,wildly unreasonable or illogical,"vô lý, phi lý, lố bịch",không,,Root gốc
wheat,noun,a cereal grain used to make flour,lúa mì,không,,Root gốc
which,pronoun,used to ask about a choice among a set of things,cái nào (đại từ nghi vấn chỉ sự lựa chọn),không,,Root gốc
snake,noun,a long limbless reptile,con rắn,không,,Root gốc
crowd,noun,a large number of people gathered together,đám đông,không,,Root gốc
site,noun,a particular place or location,"địa điểm, vị trí",không,,Root gốc
nest,noun,a structure built by a bird to lay its eggs in,tổ (chim),không,,Root gốc
linger,verb,to stay somewhere longer than necessary,"nán lại, lưu luyến không muốn rời",không,,Root gốc
litre,noun,a metric unit of volume,lít (đơn vị đo thể tích),không,,Root gốc
liable,adjective,"legally responsible, or likely to do something","có trách nhiệm pháp lý, dễ mắc phải",không,,Root gốc
lap,noun,"the flat area formed by the upper legs of a seated person; also, one circuit of a track or the act of extending over something",đùi (khi ngồi); vòng đua; sự gối lên nhau,không,,Root gốc
leather,noun,material made from the skin of an animal,da (thuộc),không,,Root gốc
my,pronoun,belonging to or associated with the speaker,của tôi (đại từ sở hữu),không,,Root gốc
naked,adjective,without clothes or covering,"trần truồng, trơ trụi",không,,Root gốc
dare,verb,to have the courage to do something,dám (làm gì),không,,Root gốc
debate,noun,a formal discussion of opposing views,cuộc tranh luận,không,,Root gốc
sole,adjective,"being the only one, single","duy nhất, chỉ có một",không,,Root gốc
cost,noun,the amount of money needed to buy or do something,"giá cả, chi phí",không,,Root gốc
counter,verb,to act or speak in opposition to something,"đối lại, chống lại, phản bác",không,,Root gốc
defeat,verb,to overcome or beat someone in a contest,"đánh bại, làm thất bại",không,,Root gốc
difficult,adjective,needing much effort or skill to accomplish,khó khăn,không,,Root gốc
dance,noun,a series of rhythmic movements performed to music,"điệu nhảy, sự khiêu vũ",không,,Root gốc
scatter,verb,to throw or spread things in different directions,"làm tan tác, rải rác",không,,Root gốc
desert,verb,"to abandon a person, cause, or place without permission","bỏ rơi, đào ngũ, ruồng bỏ",không,,Root gốc
desperate,adjective,feeling or showing a hopeless sense of urgency,"tuyệt vọng, liều lĩnh vì cùng quẫn",không,,Root gốc
devastate,verb,to destroy or ruin something completely,"tàn phá, hủy hoại nặng nề",không,,Root gốc
deed,noun,an action that is performed intentionally,"hành động, việc làm",không,,Root gốc
shut,verb,to close something,đóng lại,không,,Root gốc
delicious,adjective,highly pleasant to the taste,"ngon, thơm ngon",không,,Root gốc
delight,noun,a feeling of great pleasure,"niềm vui thích, sự hân hoan",không,,Root gốc
jail,noun,a place where criminals are confined,"nhà tù, nhà giam",không,,Root gốc
jazz,noun,a genre of music originating from African American communities,nhạc jazz,không,,Root gốc
applicable,adjective,relevant or appropriate to a particular situation,"có thể áp dụng, thích hợp",không,,Root gốc
apply,verb,"to make a formal request, or to put something into use","áp dụng, nộp đơn xin",không,,Root gốc
approach,verb,to come near or nearer to something in place or time,"tiếp cận, đến gần",không,,Root gốc
twist,verb,"to form into a bent, curling, or distorted shape","xoắn, vặn",không,,Root gốc
unique,adjective,being the only one of its kind,"độc đáo, duy nhất, có một không hai",không,,Root gốc
library,noun,a place housing a collection of books for reading or borrowing,thư viện,không,,Root gốc
till,verb,to prepare and cultivate land for growing crops,"cày cấy, canh tác đất",không,,Root gốc
brand,noun,a type of product made by a particular company under a name,"nhãn hiệu, thương hiệu",không,,Root gốc
brave,adjective,ready to face danger without fear,"dũng cảm, can đảm",không,,Root gốc
bride,noun,a woman on her wedding day,cô dâu,không,,Root gốc
big,adjective,of great size or extent,"to lớn, to",không,,Root gốc
thrill,noun,a sudden feeling of excitement or fear,"sự hồi hộp, cảm giác phấn khích",không,,Root gốc
police,noun,the official force responsible for enforcing the law,cảnh sát,không,,Root gốc
pond,noun,a small body of still water,ao,không,,Root gốc
purchase,verb,to buy something,mua sắm,không,,Root gốc
career,noun,an occupation pursued over a significant period of a person's life,"sự nghiệp, nghề nghiệp",không,,Root gốc
carpet,noun,a thick woven fabric used as a floor covering,thảm,không,,Root gốc
carve,verb,to cut a hard material to produce an object or design,"chạm khắc, khắc",không,,Root gốc
cash,noun,money in the form of coins or banknotes,tiền mặt,không,,Root gốc
puzzle,noun,a game or problem that tests ingenuity,"câu đố, trò chơi trí tuệ",không,,Root gốc
be,verb,"to exist, or to have a specified state or quality","là, thì, ở, tồn tại",không,,Root gốc
thumb,noun,the short thick finger of the hand set apart from the other four,ngón tay cái,không,,Root gốc
thread,noun,a long thin strand of spun fiber,sợi chỉ,không,,Root gốc
threat,noun,a statement of an intention to cause harm,"mối đe dọa, lời đe dọa",không,,Root gốc
genuine,adjective,"truly what it is said to be, authentic","chân thật, đích thực",không,,Root gốc
fur,noun,the short fine soft hair of certain animals,lông (thú),không,,Root gốc
fork,noun,a utensil with prongs used for eating or a tool for digging,"cái nĩa, cái chĩa",không,,Root gốc
freeze,verb,"to turn into ice, or to become rigid with cold","đông lạnh, đóng băng",không,,Root gốc
proud,adjective,feeling deep pleasure from one's achievements,"tự hào, hãnh diện",không,,Root gốc
publish,verb,to make information or a work available to the public,"xuất bản, công bố",không,,Root gốc
proceed,verb,to continue with a course of action,"tiến hành, tiếp tục thực hiện",không,,Root gốc
camera,noun,a device used for taking photographs or recording video,"máy ảnh, máy quay phim",không,,Root gốc
gorgeous,adjective,strikingly beautiful or attractive,"lộng lẫy, xinh đẹp",không,,Root gốc
grain,noun,"a small hard seed of a cereal plant, or the texture of wood","hạt (ngũ cốc), thớ (gỗ)",không,,Root gốc
bother,verb,to cause trouble or annoyance to someone,"làm phiền, quấy rầy",không,,Root gốc
theme,noun,the main subject or idea of a piece of work,chủ đề,không,,Root gốc
thin,adjective,having little thickness or width,"mỏng, gầy",không,,Root gốc
thousand,noun,the number equal to ten hundred,một nghìn,không,,Root gốc
sudden,adjective,happening quickly and unexpectedly,"đột ngột, bất ngờ",không,,Root gốc
sugar,noun,a sweet crystalline substance used to sweeten food,đường,không,,Root gốc
chief,noun,the leader or head of a group or organization,"người đứng đầu, thủ lĩnh",không,,Root gốc
chip,noun,a small fragment broken off a larger object,"mảnh vỡ, miếng nhỏ",không,,Root gốc
explicit,adjective,"stated clearly and in detail, leaving no room for confusion","rõ ràng, minh bạch, cụ thể",không,,Root gốc
fan,noun,"a device for creating a current of air, or something shaped like it",quạt (dụng cụ tạo gió); vật có hình nan quạt xòe ra,không,,Root gốc
repeat,verb,to say or do something again,lặp lại,không,,Root gốc
